motor,propellant,Isp_sl(s),Isp_vac(s),thrust_sl(kN),thrust_vac(kN),burn_time(s),mass(kg),confidence,source,notes
BRA-S20,solid (AP/HTPB),TBD,TBD,36,TBD,TBD,TBD,low,/tmp/s20_pt.html,"36 kN encontrado na infobox; Isp/tempo pendentes"
BRA-S23,solid (AP/HTPB),TBD,TBD,TBD,TBD,TBD,TBD,low,,"pendente"
BRA-S30,solid (AP/HTPB),TBD,TBD,TBD,TBD,TBD,TBD,low,/tmp/s30_pt.html,"pendente"
BRA-S33,solid (AP/HTPB),TBD,TBD,TBD,TBD,TBD,TBD,low,,"pendente"
BRA-S40,solid (AP/HTPB),275,TBD,208.39,TBD,56,TBD,medium,/tmp/vls_pt.html,"Thrust listado: 208.39 kN, tempo de queima 56 s (VLS page) — Isp preliminar ~275 s"
BRA-S43,solid (AP/HTPB),225,TBD,303,TBD,60,TBD,medium,/tmp/vls_pt.html,"Primeiro estágio: S-43 = 303 kN, 60 s; variante de segundo estágio: 320.6 kN, 58 s (tubeira móvel). Isp_sl=225 s (vls_en.html infobox)"
BRA-S43B,solid (AP/HTPB),TBD,TBD,TBD,TBD,TBD,TBD,low,,"booster variante"
BRA-S44,solid (AP/HTPB),282,TBD,33.24,TBD,68,TBD,medium,"/tmp/vls_pt.html; /tmp/vls_en.html","Thrust listado: 33.24 kN; tempo de queima 68 s (vls_en.html infobox). pt page indica 70 s — verificar fonte preferida"
BRA-S50,solid (AP/HTPB),TBD,TBD,TBD,TBD,TBD,TBD,low,/tmp/s50_pt.html,"pendente"
BRA-L15,LOX+EtOH,280,300,TBD,TBD,TBD,TBD,low,,"estimativa 280–320 s; confirmar"
BRA-L15E,LOX+EtOH (pump-fed, elet. pump),280,300,TBD,TBD,TBD,TBD,low,,"variante movida a bomba elétrica (anotação do autor)"
BRA-L75,LOX+RP-1,300,330,TBD,TBD,TBD,TBD,low,,"estimativa 280–330 s; confirmar"
BRA-L75-H,LOX+LH2 (hydrolox),400,420,TBD,TBD,TBD,TBD,low,,"experimental; estimativa 350–450 s vac"
